NCES District ID,County Name,District Number,District Name,District Type
4800004,BEXAR COUNTY,15801,POR VIDA ACADEMY,CHARTER
4800014,BEXAR COUNTY,15802,GEORGE GERVIN ACADEMY,CHARTER
4800061,BEXAR COUNTY,15805,NEW FRONTIERS PUBLIC SCHOOLS INC,CHARTER
4800062,BEXAR COUNTY,15806,LEGACY TRADITIONAL SCHOOLS - TEXAS,CHARTER
4800063,BEXAR COUNTY,15807,SOUTHWEST PREPARATORY SCHOOL,CHARTER
4800053,BEXAR COUNTY,15808,INSPIRE ACADEMIES,CHARTER
4800077,BEXAR COUNTY,15809,BEXAR COUNTY ACADEMY,CHARTER
4800059,BEXAR COUNTY,15814,POSITIVE SOLUTIONS CHARTER SCHOOL,CHARTER
4800080,BEXAR COUNTY,15815,HERITAGE ACADEMY,CHARTER
4800179,BEXAR COUNTY,15822,JUBILEE ACADEMIES,CHARTER
4800246,BEXAR COUNTY,15825,LIGHTHOUSE PUBLIC SCHOOLS,CHARTER
4800258,BEXAR COUNTY,15827,SCHOOL OF SCIENCE AND TECHNOLOGY,CHARTER
4800266,BEXAR COUNTY,15828,HARMONY PUBLIC SCHOOLS - SOUTH TEXAS,CHARTER
4800268,BEXAR COUNTY,15830,SOMERSET ACADEMIES OF TEXAS,CHARTER
4801400,BEXAR COUNTY,15831,SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY,CHARTER
4801412,BEXAR COUNTY,15833,HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN,CHARTER
4801438,BEXAR COUNTY,15834,BASIS TEXAS,CHARTER
4801441,BEXAR COUNTY,15835,GREAT HEARTS TEXAS,CHARTER
4801435,BEXAR COUNTY,15836,ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,CHARTER
4801457,BEXAR COUNTY,15838,COMPASS ROSE PUBLIC SCHOOLS,CHARTER
4801467,BEXAR COUNTY,15839,PROMESA ACADEMY CHARTER SCHOOL,CHARTER
4801472,BEXAR COUNTY,15840,SAN ANTONIO STEAM ACADEMY,CHARTER
4801471,BEXAR COUNTY,15841,THE GATHERING PLACE,CHARTER
4801477,BEXAR COUNTY,15842,ROYAL PUBLIC SCHOOLS,CHARTER
4801476,BEXAR COUNTY,15843,PRELUDE PREPARATORY CHARTER SCHOOL,CHARTER
4801479,BEXAR COUNTY,15844,ESSENCE PREPARATORY CHARTER SCHOOL,CHARTER
4899132,BEXAR COUNTY,15845,CELEBRATE DYSLEXIA SCHOOLS,CHARTER
4807590,BEXAR COUNTY,15901,ALAMO HEIGHTS ISD,INDEPENDENT
4822470,BEXAR COUNTY,15904,HARLANDALE ISD,INDEPENDENT
4818150,BEXAR COUNTY,15905,EDGEWOOD ISD,INDEPENDENT
4836450,BEXAR COUNTY,15906,RANDOLPH FIELD ISD,INDEPENDENT
4838730,BEXAR COUNTY,15907,SAN ANTONIO ISD,INDEPENDENT
4840680,BEXAR COUNTY,15908,SOUTH SAN ANTONIO ISD,INDEPENDENT
4840740,BEXAR COUNTY,15909,SOMERSET ISD,INDEPENDENT
4832940,BEXAR COUNTY,15910,NORTH EAST ISD,INDEPENDENT
4817850,BEXAR COUNTY,15911,EAST CENTRAL ISD,INDEPENDENT
4840950,BEXAR COUNTY,15912,SOUTHWEST ISD,INDEPENDENT
4826370,BEXAR COUNTY,15913,LACKLAND ISD,INDEPENDENT
4820160,BEXAR COUNTY,15914,FT SAM HOUSTON ISD,INDEPENDENT
4833120,BEXAR COUNTY,15915,NORTHSIDE ISD,INDEPENDENT
4824990,BEXAR COUNTY,15916,JUDSON ISD,INDEPENDENT
4840920,BEXAR COUNTY,15917,SOUTHSIDE ISD,INDEPENDENT
4801429,COLLIN COUNTY,43801,IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS,CHARTER
4801452,COLLIN COUNTY,43802,IMAGINE LONE STAR INTERNATIONAL ACADEMY,CHARTER
4807890,COLLIN COUNTY,43901,ALLEN ISD,INDEPENDENT
4808340,COLLIN COUNTY,43902,ANNA ISD,INDEPENDENT
4813290,COLLIN COUNTY,43903,CELINA ISD,INDEPENDENT
4819080,COLLIN COUNTY,43904,FARMERSVILLE ISD,INDEPENDENT
4820010,COLLIN COUNTY,43905,FRISCO ISD,INDEPENDENT
4829850,COLLIN COUNTY,43907,MCKINNEY ISD,INDEPENDENT
4830120,COLLIN COUNTY,43908,MELISSA ISD,INDEPENDENT
4835100,COLLIN COUNTY,43910,PLANO ISD,INDEPENDENT
4835850,COLLIN COUNTY,43911,PRINCETON ISD,INDEPENDENT
4836000,COLLIN COUNTY,43912,PROSPER ISD,INDEPENDENT
4846530,COLLIN COUNTY,43914,WYLIE ISD,INDEPENDENT
4810590,COLLIN COUNTY,43917,BLUE RIDGE ISD,INDEPENDENT
4814850,COLLIN COUNTY,43918,COMMUNITY ISD,INDEPENDENT
4828380,COLLIN COUNTY,43919,LOVEJOY ISD,INDEPENDENT
4800029,DALLAS COUNTY,57802,PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES,CHARTER
4800030,DALLAS COUNTY,57803,UPLIFT EDUCATION,CHARTER
4800016,DALLAS COUNTY,57804,TEXANS CAN ACADEMIES,CHARTER
4800041,DALLAS COUNTY,57806,ADVANTAGE ACADEMY,CHARTER
4800055,DALLAS COUNTY,57807,LIFE SCHOOL,CHARTER
4800070,DALLAS COUNTY,57808,UNIVERSAL ACADEMY,CHARTER
4800072,DALLAS COUNTY,57809,NOVA ACADEMY,CHARTER
4800090,DALLAS COUNTY,57810,ACADEMY OF DALLAS,CHARTER
4800092,DALLAS COUNTY,57813,TRINITY BASIN PREPARATORY,CHARTER
4800093,DALLAS COUNTY,57814,ACADEMY FOR ACADEMIC EXCELLENCE,CHARTER
4800098,DALLAS COUNTY,57819,JEAN MASSIEU ACADEMY,CHARTER
4800201,DALLAS COUNTY,57827,NOVA ACADEMY SOUTHEAST,CHARTER
4800202,DALLAS COUNTY,57828,WINFREE ACADEMY CHARTER SCHOOLS,CHARTER
4800203,DALLAS COUNTY,57829,A+ ACADEMY,CHARTER
4800204,DALLAS COUNTY,57830,INSPIRED VISION ACADEMY,CHARTER
4800184,DALLAS COUNTY,57831,GATEWAY CHARTER ACADEMY,CHARTER
4800186,DALLAS COUNTY,57833,EDUCATION CENTER INTERNATIONAL ACADEMY,CHARTER
4800236,DALLAS COUNTY,57834,EVOLUTION ACADEMY CHARTER SCHOOL,CHARTER
4800237,DALLAS COUNTY,57835,GOLDEN RULE CHARTER SCHOOL,CHARTER
4800248,DALLAS COUNTY,57836,ST ANTHONY SCHOOL,CHARTER
4800270,DALLAS COUNTY,57839,LA ACADEMIA DE ESTRELLAS,CHARTER
