date,Andrews,Atascosa,Bailey,Bell,Bexar,Borden,Brazoria,Brewster,Brown,Carson,Cochran,Collin,Dallam,Dallas,Dawson,Denton,Eastland,Ector,El Paso,Erath,Fannin,Fort Bend,Gaines,Garza,Hale,Hardeman,Harris,Harrison,Hays,Hockley,Lamar,Lamb,Lubbock,Lynn,Martin,McLennan,Midland,Parmer,Potter,Randall,Reeves,Rockwall,Scurry,Shackelford,Tarrant,Terry,Travis,Upshur,Williamson,Yoakum,Texas
2/24/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,57,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,4,90
2/25/2025,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,2,0,0,0,0,80,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,21,0,0,0,5,124
2/28/2025,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,2,0,0,0,0,98,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,21,0,0,0,6,146
3/4/2025,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,2,0,0,0,0,107,0,0,0,2,0,0,0,0,0,3,2,3,0,0,0,0,0,0,1,0,0,0,22,1,0,0,7,163
3/7/2025,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,2,0,0,0,0,137,0,0,0,2,0,0,0,0,0,3,2,3,0,0,0,0,0,0,1,0,0,0,29,1,0,0,8,202
3/11/2025,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,2,0,0,0,0,156,0,0,0,2,0,0,0,0,0,3,2,3,0,0,0,0,0,0,1,0,0,0,32,1,0,0,10,227
3/21/2025,0,0,0,0,0,0,0,0,0,0,7,0,6,0,13,0,0,2,0,0,0,0,211,1,1,0,3,0,0,1,5,0,8,2,3,0,1,0,0,1,0,1,0,0,0,37,1,0,0,12,316
3/25/2025,0,0,0,0,0,0,0,0,0,0,7,0,6,0,13,0,0,2,0,0,0,0,226,1,1,0,3,0,0,1,5,1,10,2,3,0,1,0,0,1,0,1,0,0,0,37,1,0,0,13,335
4/4/2025,1,0,0,0,0,0,0,0,1,0,9,0,7,0,20,0,0,8,0,1,0,1,315,2,3,0,3,0,0,3,11,1,33,2,3,0,1,0,0,1,0,1,0,0,0,43,1,0,0,17,488
4/11/2025,,0,0,0,0,1,0,0,1,0,11,0,7,0,21,0,0,8,3,1,0,1,355,2,5,0,4,0,0,3,11,1,38,2,3,0,1,0,0,1,0,1,0,0,0,47,1,0,0,18,547
4/18/2025,2,0,0,0,0,1,1,0,1,0,12,0,7,0,23,0,0,9,18,1,0,2,371,2,5,0,4,0,0,5,11,1,42,2,3,0,2,4,1,1,1,2,0,0,0,52,1,15,0,19,621
4/22/2025,2,0,2,0,0,1,1,0,1,0,12,0,7,0,23,0,0,10,20,1,0,2,386,2,5,0,4,0,0,5,11,1,47,2,3,0,3,4,1,1,1,2,0,0,0,54,1,15,0,19,649
4/29/2025,3,1,2,0,0,1,1,0,1,0,14,0,7,0,25,0,0,10,32,1,0,1,396,2,5,0,4,0,0,5,17,1,48,2,3,0,3,4,1,1,1,2,0,0,0,59,1,18,0,19,691
5/2/2025,3,1,2,0,0,1,1,0,1,0,14,1,7,0,26,1,2,11,38,1,0,1,396,2,5,1,4,0,0,6,17,1,50,2,3,0,3,4,2,1,1,2,0,1,0,59,2,5,0,19,697
5/6/2025,3,1,2,0,0,1,1,0,1,0,14,1,7,0,26,1,2,11,44,1,0,1,403,2,6,1,4,0,0,6,18,1,51,2,3,0,3,5,2,1,1,2,0,1,2,60,2,5,0,20,718
5/9/2025,3,1,2,0,0,1,1,0,1,0,14,1,7,0,26,1,2,11,50,1,0,1,403,2,6,1,4,0,0,6,19,1,51,2,3,0,3,5,2,1,1,2,0,1,2,60,2,5,0,20,725
5/12/2025,3,1,2,0,0,1,1,0,1,1,14,1,7,0,26,1,2,11,52,1,0,1,405,2,6,1,4,0,0,6,19,1,52,2,3,0,3,5,2,1,1,1,0,1,2,60,2,5,0,20,730
5/23/2025,3,1,2,0,0,1,1,1,1,1,14,2,7,0,26,2,2,11,56,1,0,1,408,2,5,1,4,1,1,6,20,1,53,2,3,1,5,5,2,2,1,1,1,1,2,60,2,5,0,20,748
5/26/2025,3,1,2,0,0,1,1,1,1,1,14,1,7,0,26,2,2,11,57,1,0,1,408,2,5,1,4,1,1,6,20,1,53,2,3,1,5,5,1,1,1,1,1,1,4,60,2,5,0,20,748
5/30/2025,3,1,2,0,0,1,1,1,1,1,14,2,7,0,26,2,2,11,57,1,0,1,409,2,5,1,4,3,1,6,20,1,53,2,3,8,5,5,1,2,1,1,1,1,4,60,2,5,6,20,766
