date,ENKF Predicted,True Infections,EKF Predicted,EKF True
2025-03-02,146.0,146,146.0,146
2025-03-09,278.8591368801843,202,202.00012008383632,202
2025-03-16,276.5674183131619,227,227.00034471440102,227
2025-03-23,276.95760907481974,316,315.99838650189713,316
2025-03-30,316.0,335,335.00099462019307,335
2025-04-06,335.0,488,487.9965458265266,488
2025-04-13,488.0,547,547.0009477247996,547
2025-04-20,547.0,621,621.0005408692514,621
2025-04-27,621.0,649,649.0011157048489,649
2025-05-04,649.0,697,697.0001696791807,697
2025-05-11,697.0,725,725.0007957756718,725
2025-05-18,725.0,730,730.0014053783524,730
2025-05-25,730.0,748,747.9998197043807,748
2025-06-01,748.0,766,765.999991295454,766
2025-06-08,766.0,768,768.001662858993,768
2025-06-15,768.0,770,770.0011144520836,770
2025-06-22,770.0,770,770.0013741450682,770
2025-06-29,770.0,779,778.9923015320825,779
2025-07-06,779.0,782,782.001343935359,782
2025-07-13,782.0,782,782.0018330172925,782
2025-07-20,782.0,782,782.0018330172925,782
2025-07-27,782.0,782,782.0018330172925,782
2025-08-03,782.0,791,790.9390303465955,791
2025-08-10,791.0,791,791.0023759159805,791
2025-08-17,791.0,791,791.0023759159805,791
2025-08-24,791.0,791,791.0023759159805,791
2025-08-31,791.0,791,791.0023759159805,791
2025-09-07,791.0,792,791.9926450931091,792
