date,confirmed
1/20/2025,1.75
1/21/2025,1.8
1/22/2025,1.5
1/23/2025,1.428571429
1/24/2025,1.428571429
1/25/2025,1.428571429
1/26/2025,1.285714286
1/27/2025,1.428571429
1/28/2025,1.857142857
1/29/2025,2.857142857
1/30/2025,3.571428571
1/31/2025,4
2/1/2025,4.714285714
2/2/2025,4.857142857
2/3/2025,4.571428571
2/4/2025,4.142857143
2/5/2025,3.857142857
2/6/2025,3.714285714
2/7/2025,4
2/8/2025,4.714285714
2/9/2025,5.857142857
2/10/2025,6
2/11/2025,7.142857143
2/12/2025,7.142857143
2/13/2025,7.142857143
2/14/2025,7.142857143
2/15/2025,7.142857143
2/16/2025,8
2/17/2025,8.571428571
2/18/2025,8.714285714
2/19/2025,9.714285714
2/20/2025,10
2/21/2025,10
2/22/2025,9.285714286
2/23/2025,8.714285714
2/24/2025,8.714285714
2/25/2025,8.142857143
2/26/2025,8.571428571
2/27/2025,8.714285714
2/28/2025,8.857142857
3/1/2025,10.28571429
3/2/2025,9.857142857
3/3/2025,10.71428571
3/4/2025,10.85714286
3/5/2025,9.714285714
3/6/2025,9.714285714
3/7/2025,9.857142857
3/8/2025,8.285714286
3/9/2025,8.857142857
3/10/2025,8.142857143
3/11/2025,8.285714286
3/12/2025,9.285714286
3/13/2025,9.857142857
3/14/2025,10.14285714
3/15/2025,12
3/16/2025,12.57142857
3/17/2025,11.85714286
3/18/2025,11.57142857
3/19/2025,11.42857143
3/20/2025,11
3/21/2025,10.85714286
3/22/2025,10.71428571
3/23/2025,9
3/24/2025,9.714285714
3/25/2025,9.714285714
3/26/2025,9.571428571
3/27/2025,10
3/28/2025,10.42857143
3/29/2025,9.285714286
3/30/2025,9.142857143
3/31/2025,8.571428571
4/1/2025,9.571428571
4/2/2025,9.428571429
4/3/2025,8.285714286
4/4/2025,7.285714286
4/5/2025,7.428571429
4/6/2025,8.428571429
4/7/2025,8.714285714
4/8/2025,7.714285714
4/9/2025,7.571428571
4/10/2025,7.428571429
4/11/2025,6.857142857
4/12/2025,6.571428571
4/13/2025,6.142857143
4/14/2025,6.142857143
4/15/2025,6.714285714
4/16/2025,6.142857143
4/17/2025,6.714285714
4/18/2025,6.571428571
4/19/2025,5.857142857
4/20/2025,5
4/21/2025,4.857142857
4/22/2025,3.857142857
4/23/2025,3.142857143
4/24/2025,2.714285714
4/25/2025,3.142857143
4/26/2025,3.428571429
4/27/2025,4.142857143
4/28/2025,3.571428571
4/29/2025,3
4/30/2025,2.857142857
5/1/2025,2.428571429
5/2/2025,2
5/3/2025,1.714285714
5/4/2025,1
5/5/2025,0.857142857
5/6/2025,1
5/7/2025,1.285714286
5/8/2025,1.571428571
5/9/2025,1.428571429
5/10/2025,1.142857143
5/11/2025,1.142857143
5/12/2025,1.285714286
5/13/2025,1.285714286
5/14/2025,1
5/15/2025,0.571428571
5/16/2025,0.714285714
5/17/2025,1.857142857
5/18/2025,1.571428571
5/19/2025,1.428571429
5/20/2025,1.428571429
5/21/2025,1.428571429
5/22/2025,1.428571429
5/23/2025,1.571428571
5/24/2025,0.571428571
5/25/2025,0.571428571
5/26/2025,0.571428571
5/27/2025,0.428571429
5/28/2025,0.428571429
5/29/2025,0.428571429
5/30/2025,0.285714286
5/31/2025,0.428571429
6/1/2025,0.571428571
6/2/2025,0.571428571
6/3/2025,0.571428571
6/4/2025,0.571428571
6/5/2025,0.571428571
6/6/2025,0.571428571
6/7/2025,0.285714286
6/8/2025,0.142857143
6/9/2025,0.142857143
6/10/2025,0.142857143
6/11/2025,0.285714286
6/12/2025,0.571428571
6/13/2025,0.428571429
6/14/2025,0.428571429
6/15/2025,0.428571429
6/16/2025,0.428571429
6/17/2025,0.571428571
6/18/2025,0.428571429
6/19/2025,0.142857143
6/20/2025,0.285714286
6/21/2025,0.285714286
6/22/2025,0.428571429
6/23/2025,0.714285714
6/24/2025,0.714285714
6/25/2025,0.714285714
6/26/2025,0.714285714
6/27/2025,0.571428571
6/28/2025,0.714285714
6/29/2025,0.666666667
6/30/2025,0.4
7/1/2025,0.25
