date,"Andrews, TX","Atascosa, TX","Bailey, TX","Bell, TX","Bexar, TX","Borden, TX","Brazoria, TX","Brewster, TX","Brown, TX","Carson, TX","Cochran, TX","Collin, TX","Dallam, TX","Dallas, TX","Dawson, TX","Denton, TX","Eastland, TX","Ector, TX","El Paso, TX","Erath, TX","Fannin, TX","Fort Bend, TX","Gaines, TX","Garza, TX","Hale, TX","Hardeman, TX","Harris, TX","Harrison, TX","Hays, TX","Hockley, TX","Lamar, TX","Lamb, TX","Lubbock, TX","Lynn, TX","Martin, TX","McLennan, TX","Midland, TX","Parmer, TX","Potter, TX","Randall, TX","Reeves, TX","Rockwall, TX","Scurry, TX","Shackelford, TX","Tarrant, TX","Terry, TX","Travis, TX","Upshur, TX","Williamson, TX","Yoakum, TX"
2024-04-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-07,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,2,0,0,0,0,80,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,21,0,0,0,5
2025-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-03-21,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,2,0,0,0,0,156,0,0,0,2,0,0,0,0,0,3,2,3,0,0,0,0,0,0,1,0,0,0,32,1,0,0,10
2025-03-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-04,0,0,0,0,0,0,0,0,0,0,7,0,6,0,13,0,0,2,0,0,0,0,226,1,1,0,3,0,0,1,5,1,10,2,3,0,1,0,0,1,0,1,0,0,0,37,1,0,0,13
2025-04-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-02,2,0,2,0,0,1,1,0,1,0,12,0,7,0,23,0,0,10,20,1,0,2,386,2,5,0,4,0,0,5,11,1,47,2,3,0,3,4,1,1,1,2,0,0,0,54,1,15,0,19
2025-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-05-09,3,1,2,0,0,1,1,0,1,0,14,0,7,0,25,0,0,10,32,1,0,1,396,2,5,0,4,0,0,5,17,1,48,2,3,0,3,4,1,1,1,2,0,0,0,59,1,18,0,19
